"id","price","room_type"
598713051061239296,120,"Entire home/apt"
7740527,NA,"Private room"
18039329,NA,"Entire home/apt"
815196047046719872,223,"Entire home/apt"
36698970,140,"Private room"
1208037661418104832,97,"Private room"
1046506922921701120,46,"Private room"
888236603222563840,98,"Private room"
1137622612757446272,48,"Private room"
14215652,180,"Entire home/apt"
10824871,120,"Entire home/apt"
1121085081120589824,175,"Entire home/apt"
10656360,NA,"Shared room"
6982967,NA,"Private room"
11700121,NA,"Entire home/apt"
15801194,NA,"Private room"
803150657798963072,79,"Private room"
46671693,72,"Private room"
9821183,NA,"Private room"
649219147279911936,37,"Private room"
12780993,NA,"Entire home/apt"
24057583,69,"Private room"
45524309,60,"Private room"
38609434,120,"Private room"
973379136714119936,45,"Private room"
1032106564091058048,100,"Entire home/apt"
1126919451935895168,200,"Entire home/apt"
1177479478277828864,99,"Private room"
790126950595547904,155,"Entire home/apt"
45494351,97,"Private room"
18718195,140,"Private room"
7725042,NA,"Private room"
8425657,NA,"Entire home/apt"
20815250,NA,"Entire home/apt"
692599752789657728,66,"Private room"
28346019,NA,"Private room"
647125962319558656,165,"Entire home/apt"
27653304,NA,"Entire home/apt"
9312190,NA,"Entire home/apt"
17481484,NA,"Private room"
15106603,NA,"Entire home/apt"
20483387,NA,"Private room"
784294277993627648,600,"Private room"
1169296521633718016,110,"Entire home/apt"
1151565053985705088,250,"Entire home/apt"
9902915,NA,"Private room"
9920191,NA,"Entire home/apt"
8506867,NA,"Entire home/apt"
11602485,NA,"Private room"
20556622,NA,"Private room"
13603951,NA,"Entire home/apt"
46355720,NA,"Entire home/apt"
24852797,NA,"Entire home/apt"
1046632736813066368,511,"Entire home/apt"
34596689,NA,"Private room"
35574095,NA,"Private room"
22249256,NA,"Entire home/apt"
21907916,NA,"Private room"
21925948,NA,"Entire home/apt"
684668096777520640,NA,"Private room"
12905314,NA,"Private room"
50539494,NA,"Entire home/apt"
13769222,NA,"Private room"
20000421,NA,"Private room"
24892670,NA,"Private room"
21520497,NA,"Entire home/apt"
32764445,NA,"Entire home/apt"
21386117,NA,"Private room"
33495663,NA,"Entire home/apt"
42871912,NA,"Private room"
42156706,NA,"Entire home/apt"
46013470,NA,"Private room"
22290580,NA,"Private room"
757298979318200320,NA,"Entire home/apt"
690047987002271232,NA,"Entire home/apt"
53937868,165,"Entire home/apt"
21550717,NA,"Entire home/apt"
21652744,NA,"Private room"
21827355,NA,"Private room"
