"latitude","longitude","neighbourhood","neighbourhood_cleansed","neighbourhood_group_cleansed","price","room_type","numb_dollar"
40.56853,-74.11843,"","New Dorp","Staten Island",NA,"Entire home/apt",NA
40.79643,-73.93869,"","East Harlem","Manhattan",NA,"Private room",NA
40.67232,-73.95702,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.79588,-73.93646,"","East Harlem","Manhattan",NA,"Private room",NA
40.69682,-73.92543,"","Bushwick","Brooklyn",NA,"Private room",NA
40.72771,-73.98549,"","East Village","Manhattan",NA,"Private room",NA
40.67092,-73.95227,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.78123,-73.97922,"","Upper West Side","Manhattan",NA,"Private room",NA
40.80272,-73.96637,"Neighborhood highlights","Upper West Side","Manhattan",NA,"Private room",NA
40.69295,-73.93537,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.74825,-73.98547,"","Midtown","Manhattan",150,"Private room",150
40.7747544413796,-73.9482225530685,"","Upper East Side","Manhattan",85,"Private room",85
40.74618,-73.98716,"Neighborhood highlights","Midtown","Manhattan",NA,"Entire home/apt",NA
40.76333,-73.92274,"","Astoria","Queens",NA,"Entire home/apt",NA
40.77768,-73.94567,"","Upper East Side","Manhattan",NA,"Private room",NA
40.83263,-73.94182,"","Washington Heights","Manhattan",NA,"Private room",NA
40.70263,-73.94498,"","Williamsburg","Brooklyn",NA,"Private room",NA
40.645355573328,-73.9639294791519,"","Flatbush","Brooklyn",NA,"Entire home/apt",NA
40.73014,-74.00138,"Neighborhood highlights","Greenwich Village","Manhattan",NA,"Entire home/apt",NA
40.7842,-73.94968,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.77184,-73.98835,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.73645,-74.00122,"","West Village","Manhattan",NA,"Entire home/apt",NA
40.6722,-73.94544,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.8340087620747,-73.8182923837395,"","Throgs Neck","Bronx",175,"Private room",175
40.69779,-73.92212,"Neighborhood highlights","Bushwick","Brooklyn",NA,"Private room",NA
40.67221,-73.93435,"","Crown Heights","Brooklyn",NA,"Private room",NA
40.71922,-73.95386,"Neighborhood highlights","Greenpoint","Brooklyn",NA,"Entire home/apt",NA
40.66168,-73.99426,"","Sunset Park","Brooklyn",NA,"Private room",NA
40.73818,-73.98375,"","Gramercy","Manhattan",NA,"Entire home/apt",NA
40.80225,-73.95577,"","Harlem","Manhattan",NA,"Private room",NA
40.70039,-73.92867,"","Bushwick","Brooklyn",NA,"Private room",NA
40.68807,-73.9708,"","Fort Greene","Brooklyn",NA,"Entire home/apt",NA
40.68653,-73.91025,"","Bushwick","Brooklyn",NA,"Private room",NA
40.71423,-73.94652,"Neighborhood highlights","Williamsburg","Brooklyn",NA,"Private room",NA
40.76066,-73.99092,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.73527,-73.99339,"","Greenwich Village","Manhattan",NA,"Entire home/apt",NA
40.77532,-73.98322,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.72096,-73.99616,"","Nolita","Manhattan",NA,"Private room",NA
40.71728,-73.95081,"","Williamsburg","Brooklyn",NA,"Entire home/apt",NA
40.74467,-73.97461,"","Murray Hill","Manhattan",NA,"Entire home/apt",NA
40.5858882064756,-74.0965385954629,"","Dongan Hills","Staten Island",162,"Entire home/apt",162
40.74096,-73.87153,"","Elmhurst","Queens",NA,"Private room",NA
40.6326,-73.93195,"","Flatlands","Brooklyn",NA,"Private room",NA
40.86697,-73.86696,"","Allerton","Bronx",NA,"Private room",NA
40.68392,-73.92609,"","Bedford-Stuyvesant","Brooklyn",NA,"Entire home/apt",NA
40.75916,-73.99344,"","Hell's Kitchen","Manhattan",NA,"Entire home/apt",NA
40.75634,-73.98222,"","Midtown","Manhattan",NA,"Entire home/apt",NA
40.7601,-73.91679,"Neighborhood highlights","Astoria","Queens",NA,"Private room",NA
40.76158,-73.95884,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.69097,-73.84858,"Neighborhood highlights","Woodhaven","Queens",NA,"Entire home/apt",NA
40.85312,-73.88892,"","Belmont","Bronx",82,"Private room",82
40.63851,-74.00231,"","Borough Park","Brooklyn",NA,"Private room",NA
40.83964,-73.94287,"","Washington Heights","Manhattan",NA,"Private room",NA
40.70153,-73.9261,"","Bushwick","Brooklyn",NA,"Private room",NA
40.76438,-73.98127,"","Midtown","Manhattan",NA,"Entire home/apt",NA
40.77001,-73.98355,"","Upper West Side","Manhattan",NA,"Entire home/apt",NA
40.61748,-73.96091,"Neighborhood highlights","Midwood","Brooklyn",NA,"Entire home/apt",NA
40.61246,-74.00258,"","Bensonhurst","Brooklyn",NA,"Shared room",NA
40.73708,-73.98481,"Neighborhood highlights","Gramercy","Manhattan",NA,"Entire home/apt",NA
40.76175,-73.97503,"","Midtown","Manhattan",NA,"Hotel room",NA
40.81965,-73.88004,"","Soundview","Bronx",NA,"Private room",NA
40.7739424791035,-73.7725721641151,"","Bayside","Queens",76,"Private room",76
40.68926,-73.84916,"","Woodhaven","Queens",NA,"Entire home/apt",NA
40.70702,-73.92227,"","Bushwick","Brooklyn",NA,"Private room",NA
40.75763,-73.98968,"","Hell's Kitchen","Manhattan",NA,"Private room",NA
40.85055,-73.92929,"","Washington Heights","Manhattan",NA,"Private room",NA
40.64032,-74.00412,"","Borough Park","Brooklyn",NA,"Private room",NA
40.72122,-73.98829,"","Lower East Side","Manhattan",NA,"Entire home/apt",NA
40.59697,-73.95177,"","Sheepshead Bay","Brooklyn",NA,"Entire home/apt",NA
40.66201,-73.98125,"Neighborhood highlights","South Slope","Brooklyn",NA,"Private room",NA
40.74751,-73.93845,"","Long Island City","Queens",NA,"Private room",NA
40.77443,-73.95013,"","Upper East Side","Manhattan",NA,"Entire home/apt",NA
40.70142,-73.91841,"","Bushwick","Brooklyn",NA,"Private room",NA
40.73391,-73.99629,"","Greenwich Village","Manhattan",NA,"Entire home/apt",NA
40.76543,-73.91657,"","Astoria","Queens",NA,"Private room",NA
40.68823,-73.95677,"","Bedford-Stuyvesant","Brooklyn",NA,"Private room",NA
40.78816,-73.9804,"","Upper West Side","Manhattan",NA,"Private room",NA
40.82784,-73.93925,"","Harlem","Manhattan",NA,"Entire home/apt",NA
40.74818,-73.88576,"","Jackson Heights","Queens",NA,"Private room",NA
40.64138,-74.01831,"","Sunset Park","Brooklyn",NA,"Entire home/apt",NA
