"host_id","host_is_superhost","host_identity_verified","host_has_profile_pic"
2455544,0,0,0
2729850,0,0,0
24018769,0,0,0
3210447,0,0,0
45016174,0,0,0
31629890,0,0,0
32340523,0,0,0
40237377,0,0,0
6172959,0,0,0
51522009,0,0,0
41464907,0,0,0
582250822,0,0,0
36866768,0,0,0
21090508,0,0,0
52022983,0,0,0
1340207,0,0,0
7963317,0,0,0
1603471,0,0,0
31376201,0,0,0
5769963,0,0,0
55062858,0,0,0
56536974,0,0,0
45168846,0,0,0
13500220,0,0,0
24881130,0,0,0
564585,0,0,0
1330961,0,0,0
14278457,0,0,0
51652888,0,0,0
42315851,0,0,0
12190846,0,0,0
12114372,0,0,0
11658596,0,0,0
45208389,0,0,0
22613302,0,0,0
45608786,0,0,0
55165952,0,0,0
47013708,0,0,0
14979188,0,0,0
10025306,0,0,0
48264527,0,0,0
45589955,0,0,0
35919822,0,0,0
36166165,0,0,0
60502606,0,0,0
9721574,0,0,0
49202910,0,0,0
415502,0,0,0
101695430,0,0,0
72002747,0,0,0
82717014,0,0,0
18671223,0,0,0
16326744,0,0,0
33640698,0,0,0
57055185,0,0,0
23429756,0,0,0
163313344,0,0,0
27962518,0,0,0
23985505,0,0,0
3100823,0,0,0
503555,0,0,0
36441990,0,0,0
36817279,0,0,0
27158859,0,0,0
80721470,0,0,0
133736899,0,0,0
17274880,0,0,0
12662045,0,0,0
141011662,0,0,0
6335037,0,0,0
27439632,0,0,0
48261452,0,0,0
17861935,0,0,0
4055091,0,0,0
35539248,0,0,0
42956813,0,0,0
14035480,0,0,0
28557516,0,0,0
54261444,0,0,0
57517386,0,0,0
37419591,0,0,0
72539408,0,0,0
82878914,0,0,0
143817547,0,0,0
154921518,0,0,0
574255356,0,0,0
86337764,0,0,0
339421913,0,0,0
923364,0,0,0
107578852,0,0,0
582983084,0,0,0
13717740,0,0,0
450443676,0,0,0
349931116,0,0,0
455426196,0,0,0
3792860,0,0,0
62604251,0,0,0
21255768,0,0,0
135940325,0,0,0
146675319,0,0,0
347884942,0,0,0
471345215,0,0,0
556730397,0,0,0
50997424,0,0,0
342336507,0,0,0
172579417,0,0,0
115082911,0,0,0
24802960,0,0,0
51426218,0,0,0
348961337,0,0,0
348891433,0,0,0
268816419,0,0,0
291026998,0,0,0
5422083,0,0,0
6543650,0,0,0
394289605,0,0,0
296647504,0,0,0
493024482,0,0,0
535634601,0,0,0
3250450,0,0,0
526803672,0,0,0
24373940,0,0,0
490655909,0,0,0
399986109,0,0,0
498559328,0,0,0
432000371,0,0,0
66352142,0,0,0
391967495,0,0,0
415840703,0,0,0
399865453,0,0,0
482505101,0,0,0
6632440,0,0,0
3876092,0,0,0
11481,0,0,0
330886039,0,0,0
43203249,0,0,0
23861205,0,0,0
15413905,0,0,0
572649285,0,0,0
372788555,0,0,0
7344277,0,0,0
465459400,0,0,0
535538968,0,0,0
90153911,0,0,0
235971419,0,0,0
579204496,0,0,0
216807490,0,0,0
206919043,0,0,0
36881439,0,0,0
417861627,0,0,0
38706510,0,0,0
616825,0,0,0
71741921,0,0,0
521229384,0,0,0
432309846,0,0,0
51536620,0,0,0
29346825,0,0,0
465579714,0,0,0
52593822,0,0,0
99270668,0,0,0
171629811,0,0,0
22507599,0,0,0
24598868,0,0,0
97336460,0,0,0
24793480,0,0,0
27105320,0,0,0
55324782,0,0,0
122786340,0,0,0
21906247,0,0,0
89821627,0,0,0
15410169,0,0,0
156571787,0,0,0
120638903,0,0,0
113356258,0,0,0
166819817,0,0,0
861330,0,0,0
163351987,0,0,0
48858084,0,0,0
142765455,0,0,0
72390391,0,0,0
19758346,0,0,0
25268374,0,0,0
415255533,0,0,0
25710035,0,0,0
144193172,0,0,0
224806557,0,0,0
199147185,0,0,0
10387797,0,0,0
367124043,0,0,0
11306420,0,0,0
371618516,0,0,0
6047516,0,0,0
29238030,0,0,0
53829616,0,0,0
168308087,0,0,0
151728547,0,0,0
138706642,0,0,0
756577,0,0,0
52083976,0,0,0
347489040,0,0,0
154678310,0,0,0
221022609,0,0,0
200933726,0,0,0
5368201,0,0,0
4750332,0,0,0
196609694,0,0,0
25109819,0,0,0
223027077,0,0,0
205684793,0,0,0
274452385,0,0,0
193502084,0,0,0
218428676,0,0,0
37072476,0,0,0
64802660,0,0,0
15717497,0,0,0
40398107,0,0,0
221574115,0,0,0
1741498,0,0,0
220229838,0,0,0
222425618,0,0,0
223087887,0,0,0
43954564,0,0,0
216943992,0,0,0
30240946,0,0,0
218526982,0,0,0
130354635,0,0,0
80292073,0,0,0
131782045,0,0,0
5668544,0,0,0
3552356,0,0,0
217293060,0,0,0
10304316,0,0,0
2685910,0,0,0
6918093,0,0,0
206774126,0,0,0
176406553,0,0,0
207213839,0,0,0
17145227,0,0,0
13392472,0,0,0
209549523,0,0,0
147256857,0,0,0
224126362,0,0,0
2983302,0,0,0
6752504,0,0,0
27547703,0,0,0
254112876,0,0,0
228223819,0,0,0
9640446,0,0,0
57457584,0,0,0
333870992,0,0,0
287546971,0,0,0
108252768,0,0,0
319053984,0,0,0
319453843,0,0,0
48685332,0,0,0
228132014,0,0,0
4305407,0,0,0
50319699,0,0,0
137665954,0,0,0
22089863,0,0,0
218336964,0,0,0
148599649,0,0,0
144485210,0,0,0
183375401,0,0,0
183272436,0,0,0
277436628,0,0,0
272265146,0,0,0
307784227,0,0,0
157703622,0,0,0
27780735,0,0,0
192181166,0,0,0
256012654,0,0,0
64934891,0,0,0
250207981,0,0,0
36711390,0,0,0
341471321,0,0,0
242393668,0,0,0
307575749,0,0,0
178083627,0,0,0
26877037,0,0,0
159358124,0,0,0
201543093,0,0,0
59169595,0,0,0
274792241,0,0,0
141746424,0,0,0
298691341,0,0,0
314533486,0,0,0
223558519,0,0,0
390535864,0,0,0
423873487,0,0,0
36575841,0,0,0
403724650,0,0,0
377261591,0,0,0
391013997,0,0,0
19981094,0,0,0
104691618,0,0,0
6997654,0,0,0
308956896,0,0,0
250772683,0,0,0
39541683,0,0,0
109716638,0,0,0
325084969,0,0,0
229296368,0,0,0
28299758,0,0,0
309612914,0,0,0
408165393,0,0,0
43967768,0,0,0
348619646,0,0,0
7049728,0,0,0
262026369,0,0,0
45068560,0,0,0
224206042,0,0,0
337103567,0,0,0
312410720,0,0,0
312699480,0,0,0
195280100,0,0,0
50893272,0,0,0
227596527,0,0,0
346595421,0,0,0
68335750,0,0,0
106921037,0,0,0
237012544,0,0,0
359913981,0,0,0
210642957,0,0,0
60532076,0,0,0
10454742,0,0,0
19303369,0,0,0
60376755,0,0,0
112335936,0,0,0
260029999,0,0,0
4039777,0,0,0
404435510,0,0,0
74054267,0,0,0
443906271,0,0,0
191186824,0,0,0
154506785,0,0,0
368276707,0,0,0
26055080,0,0,0
311340454,0,0,0
2695722,0,0,0
10806025,0,0,0
405475955,0,0,0
107434423,0,0,0
138994918,0,0,0
479353659,0,0,0
99346083,0,0,0
214922940,0,0,0
23680153,0,0,0
184146557,0,0,0
345709132,0,0,0
346283145,0,0,0
188830760,0,0,0
41121817,0,0,0
524257147,0,0,0
51439340,0,0,0
367724384,0,0,0
69683180,0,0,0
200239515,0,0,0
