"id","price","availability_30","availability_60","availability_90","availability_365","month_year"
788537271422081536,NA,0,0,0,0,2023-08-01
542970756349440704,NA,0,0,0,0,NA
53343701,500,29,59,89,364,2021-12-01
720247617339715072,NA,0,0,0,0,NA
570245065716823872,700,30,60,90,365,2022-08-01
564290411806986496,NA,0,0,0,0,NA
1099961724205695744,NA,30,60,90,109,2024-05-01
54694,NA,0,0,0,0,2018-01-01
802687894128187648,NA,29,59,89,89,2023-03-01
597137689589326592,NA,0,0,0,0,NA
808440915774530560,NA,0,4,34,309,NA
781375615513612672,NA,30,60,90,365,2023-07-01
724517724355614720,66,30,60,90,365,NA
968830288719518336,280,29,59,89,269,NA
813700516397481344,NA,0,0,0,0,NA
763925205378424320,NA,0,0,0,0,2023-01-01
643339344703990400,NA,0,0,0,0,2023-07-01
751699636457395712,70,29,59,89,269,NA
654726207711040000,NA,29,59,89,364,NA
770566178748431360,NA,30,60,90,365,NA
737077373962465152,NA,30,60,90,365,NA
587519,NA,0,0,0,0,2015-03-01
71384,NA,0,0,0,0,2014-05-01
855858117414211072,NA,30,60,90,365,NA
866730343707283328,NA,0,0,0,0,NA
228925,NA,0,0,0,0,2021-07-01
950723475007097088,NA,13,28,56,320,2024-07-01
1146548462465101568,190,0,0,30,210,NA
1078601786069704960,NA,29,59,89,269,NA
54057539,NA,30,60,90,365,2023-01-01
548999032692933248,NA,30,60,90,365,NA
43530040,66,29,59,89,89,NA
655276640634508544,NA,0,0,0,0,NA
564251310292031936,NA,0,0,0,0,NA
1089948791141810816,NA,29,59,89,269,NA
838047027381953920,NA,30,60,90,365,NA
842313497808225024,NA,0,0,0,0,2023-10-01
862322431639063040,NA,30,60,90,365,NA
231154,NA,0,0,0,0,2018-10-01
250537,NA,30,60,90,365,NA
1045137924335303168,NA,0,0,0,0,NA
1063244517755537792,NA,1,1,1,1,NA
1113150723967169152,NA,2,20,20,66,2024-04-01
4422017,NA,0,0,0,0,2016-01-01
2329047,NA,0,0,0,0,NA
4447611,NA,0,0,0,0,NA
2521670,NA,0,0,0,0,2014-04-01
5277117,NA,0,0,0,0,2015-05-01
987616,NA,0,0,0,0,2016-08-01
89427,NA,23,53,83,358,NA
925972240218569216,NA,0,0,0,0,NA
892463,NA,0,0,0,0,2015-03-01
952784702776622080,NA,0,0,0,0,2023-11-01
1065504615423832576,NA,0,0,0,0,NA
963340164193366016,NA,29,59,89,89,2023-11-01
2271504,NA,0,0,0,0,NA
4756125,NA,0,0,0,0,NA
3703037,NA,0,0,0,0,NA
2392814,NA,0,0,0,0,NA
4479556,NA,0,0,0,0,2015-01-01
2636396,NA,0,0,0,0,2016-05-01
3122230,NA,0,0,0,0,NA
35496842,70,24,27,57,332,2024-06-01
1589248,NA,0,0,0,0,NA
3368427,NA,0,0,0,0,NA
1717215,NA,0,0,0,0,NA
4853287,NA,0,0,0,0,NA
4611256,NA,0,0,0,0,NA
4144630,NA,0,0,0,0,NA
2043329,NA,0,0,0,0,2015-05-01
4392066,NA,0,0,0,0,NA
2294594,NA,0,0,0,0,NA
2310008,NA,0,0,0,0,2015-02-01
3780746,NA,0,0,0,0,NA
2532068,NA,0,0,0,0,NA
2788298,NA,0,0,0,0,2015-05-01
1215836,NA,0,0,0,0,2017-06-01
4540852,NA,0,0,0,0,NA
4846877,NA,0,0,0,0,2015-01-01
1876969,NA,0,0,0,0,NA
4128450,NA,0,0,0,0,2014-10-01
4629726,NA,0,0,0,0,2016-01-01
4172633,NA,0,0,0,0,2017-07-01
4663807,NA,0,0,0,0,2017-01-01
4263488,NA,0,0,0,0,NA
4686678,NA,0,0,0,0,2015-06-01
4707159,NA,0,0,0,0,2014-12-01
4350406,NA,0,0,0,0,NA
4720558,NA,0,0,0,0,NA
726038186245782016,73,30,60,90,90,2023-08-01
839233785270413824,40,30,60,90,365,NA
1000972009684425088,45,3,33,63,243,2023-11-01
5729530,NA,0,0,0,0,NA
2904571,NA,0,0,0,0,2015-08-01
4803623,NA,0,0,0,0,NA
4006264,NA,0,0,0,0,2014-09-01
3378585,NA,0,0,0,0,NA
1788989,NA,0,0,0,0,2016-09-01
1886240,NA,0,0,0,0,NA
4619579,NA,0,0,0,0,NA
2003807,NA,0,0,0,0,NA
2055467,NA,0,0,0,0,NA
4227018,NA,0,0,0,0,NA
2116940,NA,0,0,0,0,2016-11-01
2243769,NA,0,0,0,0,NA
