id,room_type,accommodates,bathrooms,bedrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,wifi,parking,dryer,washer,kitchen,property_agg,log_price,superhost_t
29730504,3,4,1.0,1.0,30,3.970291913552122,1.0986122886681098,5.0,5.0,5.0,1,0,1,0,1,5,4.663439094112067,0
29760980,3,3,1.0,1.0,30,5.8998973535824915,0.0,4.0,4.0,4.0,1,1,0,0,1,5,5.697093486505405,0
29775040,3,2,1.0,1.0,30,5.796057750765372,4.709530201312334,4.96,4.95,4.91,1,1,1,1,1,4,4.875197323201151,1
29781403,3,6,1.5,2.0,30,5.8998973535824915,4.624972813284271,4.42,4.62,4.47,1,1,1,1,1,7,5.298317366548036,0
29794270,2,2,1.0,1.0,30,5.19295685089021,2.5649493574615367,4.54,4.62,4.69,1,1,1,0,1,1,4.59511985013459,1
29814549,3,2,1.0,0.0,30,4.787491742782046,5.402677381872279,4.83,4.92,4.8,1,1,1,1,0,5,4.330733340286331,1
29831517,2,2,1.0,1.0,2,4.897839799950911,5.981414211254481,4.86,4.92,4.84,1,1,0,0,0,1,4.356708826689592,1
29897123,3,2,1.0,1.0,30,4.51085950651685,3.58351893845611,4.61,4.69,4.64,1,0,1,1,1,5,4.787491742782046,0
29901044,3,5,1.5,2.0,30,5.726847747587197,0.0,5.0,5.0,5.0,1,0,0,1,1,5,5.438079308923196,0
29903897,2,1,1.0,1.0,31,5.808142489980444,4.532599493153256,4.88,4.89,4.82,1,1,1,0,1,5,3.912023005428146,1
29904305,2,1,1.0,1.0,31,5.484796933490655,4.23410650459726,4.96,4.97,4.91,1,1,1,0,1,5,3.8066624897703196,1
29904478,2,1,1.0,1.0,31,5.746203190540153,4.127134385045092,4.89,4.9,4.89,1,1,1,0,1,5,3.8066624897703196,1
29905155,3,1,1.0,1.0,30,5.1298987149230735,4.927253685157205,5.0,5.0,4.93,1,1,1,1,1,4,4.8283137373023015,0
29908937,3,3,1.0,1.0,1,5.093750200806762,4.127134385045092,4.79,4.85,4.6,1,1,1,1,1,5,5.517452896464707,0
29929702,3,5,2.0,3.0,30,5.726847747587197,5.043425116919247,4.81,4.85,4.75,1,1,1,0,1,5,4.941642422609304,0
29935981,3,4,2.0,3.0,30,5.8805329864007,2.3978952727983707,5.0,4.91,4.73,1,1,1,1,1,3,6.684611727667927,0
29937451,3,2,1.0,1.0,30,5.8916442118257715,4.3694478524670215,4.9,4.9,4.82,1,1,1,0,1,1,4.77912349311153,1
