"id","price","bedrooms"
1213210056918462976,104,1
867385242229456256,140,2
766186374255566464,85,1
17685710,54,1
947184015001854592,70,1
51042544,90,1
845209255123786880,69,1
861425260494982784,99,2
31612381,55,2
1236186462408809472,72,2
44229,110,1
746356369135138304,14,1
49077426,51,1
1026374295595084544,84,1
28250448,90,1
28518077,75,1
1123508465565975936,56,1
46065989,49,1
713136715421041280,49,1
564682824371493120,480,3
1173054019210100224,175,3
855628419776805888,181,2
1213918539223846656,100,2
1234877710945845504,53,1
994767238822016384,98,1
53211837,62,1
625101948280782592,166,2
53666929,190,2
608883254672780288,44,1
52267290,48,1
1066102862445188096,240,3
41976399,50,1
28165121,82,1
1061633131713767680,351,1
1198752324486006784,111,1
1105895433928720768,752,3
1234737114054544384,46,1
1177572288353147136,206,1
1132949981878599296,39,4
691109892839269248,179,1
827846475904191616,34,4
633939380745222400,275,3
47181609,75,1
582372,69,1
599114974037879168,800,1
704838,95,2
48440192,125,1
836909205162247552,49,1
618390733290143744,83,1
54164726,145,2
8281889,150,1
45139002,89,1
1155316551298844160,203,1
1.223346263919e+18,76,6
1174005538017583104,250,0
1046352281440824960,170,2
1096604925689700096,36,1
798082812604809472,129,1
1013106338310034304,250,0
996659251355170048,141,2
53320872,43,1
1176936179607448576,45,1
43931225,43,1
29152320,120,1
1229887426591375616,250,2
775422512052165888,108,2
1140826486792959104,203,3
50381056,295,1
893468101723043712,150,2
629728707925098240,50,1
721846250448320000,650,1
53773839,94,1
1018963765856272896,183,1
53215556,160,2
1198181400818466816,115,3
1112291569465739136,421,4
1002938301240121344,206,1
48456241,209,2
1152372080092135296,104,1
632752608177110784,65,1
985669478516380672,104,1
592736448808176640,130,1
639317233046143744,264,2
972841979416428288,55,1
1096450069997473536,34,1
691695581479158272,157,1
828634131024731776,150,1
43806406,50,1
4711396,99,1
51621907,40,1
53402699,350,3
791372426456950912,53,1
1120370336809286784,44,1
1177584579631159552,55,1
649968161200990848,389,4
17263207,249,1
808441061597095296,65,4
96471,171,1
29269102,92,1
51487070,130,1
638044371366059520,287,1
664633132220977408,130,1
54022749,165,2
1084833456394644736,230,3
990051005387087488,116,3
8664611,86,0
853527797749614208,35,5
969020047281643904,45,1
53849102,100,2
1110905168675081728,128,6
4452723,95,2
1004428776661057280,125,2
817337173977098880,227,2
732499499283056000,45,1
925307278101325696,47,1
1203936636043065856,109,1
793077855709558528,66,1
878248054168336256,64,1
649819721923399552,71,1
1043446269533438336,150,2
20427684,59,1
855224089369017984,54,1
1654929,95,1
961836418495370368,85,1
20337158,64,0
1074814461898120576,175,2
26422113,34,3
54055089,60,1
715019792407184768,113,1
1183112253545124096,80,1
880476290217593088,240,1
1085617865241915392,59,4
806899252911679360,150,1
20677750,214,1
1051730788488389120,34,7
4428854,65,1
1116912932427140480,104,1
51269003,95,1
