"id","price","review_scores_rating"
772582827254717440,296,5
1097315160466215936,125,5
1040340637425221248,134,5
37908288,418,4.67
886123887345983360,90,5
53623779,160,4.64
1717226,250,4.56
792084481792213376,178,4.82
1127439245762741632,421,4.07
1036693686167816704,156,5
47889158,144,5
1008301599260572160,119,4.78
25443451,276,4.6
609425709203864448,250,4.9
34673353,220,5
53916135,43,5
973877376052421504,175,2
53837021,107,4.73
1106503342430113536,394,5
46791082,257,4.68
6105742,300,4.88
989145105968736256,644,4.84
1670517,235,4.83
701352651977610624,153,5
1090553830200685056,86,4.73
576779694848403072,177,4.74
1086158686226201856,344,4.75
704960933715417600,51,4.82
1176179381586469120,42,5
34620162,88,4.8
21839021,90,4.69
50257676,99,4.93
867079102546665344,131,3
866912354945573632,164,4.67
818179625602858880,232,5
1176163500569033984,41,5
822778389069736704,89,5
542959954217251648,110,4.78
1206606432001246720,112,5
43558653,43,5
1139788843133115264,66,5
1091998427751796352,89,4.57
35614233,96,4.57
603753191773135360,74,4.88
1150875449330438144,35,5
793439340837320960,65,4.76
10096515,130,4.36
969521494667176704,109,4.35
19523894,105,4.8
47152307,279,5
1004466409355496576,105,4.72
729125823009270656,40,4.5
638404496657149568,40,4.93
1003631615633097344,158,4.8
34485699,546,3.78
680442514253235456,140,1
618451653506979200,70,4.67
52013393,85,4.81
882522731362408960,95,4.79
51863390,75,4.95
641128802903031808,115,5
768894253310309632,100,4.27
12359146,150,4.51
29963575,55,4.83
855566840627585408,425,5
726691054073114752,85,4.94
44402774,70,5
906795104264452352,139,5
963914944993129472,132,4.91
866891813105747072,205,4
1178901341144672256,115,5
883193158224666368,67,5
50490000,184,4.98
1089912037059935744,100,4.5
36267546,68,4.87
39903508,125,4.52
31218310,68,4.84
37397088,129,4.67
44475635,39,5
714678465236240384,664,5
43311186,200,4.83
14499377,80,4.82
35430378,84,4.75
24541153,220,4.75
9147025,124,4.86
864544711186559744,90,4.7
52365494,153,4.75
37634767,181,3.67
736678331800252160,206,4.81
38496782,69,4.69
684818345183889664,150,4.86
33521985,400,4.77
881384171635357184,87,4.67
51920836,55,4.97
52194261,500,4.67
978187771536597632,80,5
1034787269959098752,92,4.95
53263395,58,4.61
51461593,259,5
47846577,114,4.97
46158013,42,4.91
878348575480539520,88,4.83
1176243945930185984,41,5
1023494946501931904,133,4.69
48334556,62,4.45
1211677338133559552,109,5
572714852622616640,80,4.62
43803118,65,5
43847085,99,4.82
18721341,90,4.78
36134670,90,4.79
739314926079159680,58,4.33
878171494064928512,89,4.67
1169101124186546432,121,4.8
19500346,85,4.78
52716416,220,4.81
45368990,155,4.91
24599452,85,4.74
12642845,200,4.94
963568680727420416,225,4.67
738531349516163968,109,4.88
599806687631020672,85,4.48
46156111,36,5
32595489,75,4.78
19673318,189,4.93
613230113020408064,194,4.94
560997011642218304,82,4.78
923932984833086848,279,4.97
580327989332196992,130,4.98
18345358,55,4.83
53050789,102,4.72
1138369146868364800,189,5
27705293,110,4.82
23597076,110,4.89
924768162233456384,129,4.93
734154018348711424,62,4.54
53330115,85,4.86
564546597596686720,65,4.74
1.006487297635e+18,125,4.5
556719526790566016,79,5
812155378094933504,57,3
876235378836442112,120,5
17494614,99,5
3945636,63,4.8
50133987,120,4.9
51539066,75,4.29
18404373,1000,5
1220548,95,4.53
4436944,50,4.58
755864309002645504,84,4.64
705983605034112256,57,4.62
22389035,58,4.85
8597141,164,4.5
763186374158969600,133,4.86
39176548,250,4.85
878174846329432960,265,5
51669901,90,4.86
45972391,64,5
144087,499,4.9
54860,125,4.86
644755921284741888,439,4.62
1181127097582334720,412,5
30021914,80,4.79
2296024,260,4.9
42795515,56,4.57
53133025,280,5
928135852681483776,65,4
757149473920319232,130,4.9
771422886160920320,69,4.75
48992874,60,4.73
821812150063956352,446,5
776812321278978944,185,3
4031463,71,4.87
921319100095468288,150,5
704925015465957888,72,4.7
35712515,60,4.77
796987227532480896,142,5
959603104962841984,339,5
49075743,60,4.66
50809342,120,4.67
49074726,227,4
852632,89,4.93
1092072336012573184,425,4
615395641198034048,122,5
849458722007621760,80,4.92
34592851,4000,5
53494944,91,4.78
657160196365765376,159,5
2112142,37,4.57
745881711855691264,91,4.94
1140112176584547968,242,5
942036670981097216,35,3.67
31957975,113,4.63
24022894,110,5
9299164,38,3
24332080,66,5
719593216551653120,190,4.73
44098704,127,5
1013882388980738176,196,5
836109742135678336,432,5
19622976,49,4.82
1042218107096684032,40,4
14357698,275,4.97
634996589413630592,165,3.83
840879766976439424,65,4.88
11020169,120,4.77
31144445,53,4.23
1121071083462663296,55,4.87
53634502,153,4.66
720527382291576064,32,3
45957861,299,4.78
557509075015430144,65,4.53
1948494,99,4.79
28188131,91,4.77
52360862,600,4.81
53560986,46,4.27
46565079,150,4.71
16974611,52,4.78
42158612,70,4.98
27211525,61,4.8
21566887,65,4.71
33127624,90,4.81
38780110,51,5
678314451867012736,750,5
823403018504800640,150,4.92
762296955086811904,221,4.5
671831802785282176,104,5
26954041,743,4.6
38235141,82,4.94
1092280833430415616,169,4.67
563948043642293632,999,4.9
6334236,81,4.79
21524489,120,5
35520176,469,5
